pemmdb_carrier,pemmdb_type,pemmdb_hydro_inflows,pecd_carrier,investment_dataset_carrier,tyndp_output_carrier,tyndp_report_carrier,tyndp_vp_carrier,open_tyndp_carrier,open_tyndp_index,open_tyndp_nice_name,benchmarking_capacity,benchmarking_generation,benchmarking_generation_profiles,benchmarking_fed,benchmarking_elec_demand,benchmarking_ch4_demand,benchmarking_h2_demand,benchmarking_ch4_supply,benchmarking_h2_supply,benchmarking_biomass_supply,benchmarking_energy_imports,benchmarking_prices,benchmarking_shed_hours,open_tyndp_type,pypsa_eur_carrier,comment
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-ac-fb-r,offwind-ac-fb-r,Offshore Wind (AC),wind offshore,wind offshore,offshore wind,,,,,,,,,,,offwind-ac-fb-r,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-ac-fl-r,offwind-ac-fl-r,Offshore Wind (AC Float.),wind offshore,wind offshore,offshore wind,,,,,,,,,,,offwind-ac-fl-r,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-dc-fb-r,offwind-dc-fb-r,Offshore Wind (DC),wind offshore,wind offshore,offshore wind,,,,,,,,,,,offwind-dc-fb-r,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-dc-fl-r,offwind-dc-fl-r,Offshore Wind (DC Float.),wind offshore,wind offshore,offshore wind,,,,,,,,,,,offwind-dc-fl-r,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-dc-fb-oh,offwind-dc-fb-oh,Offshore Wind (DC OH),wind offshore,wind offshore,offshore wind,,,,,,,,,,,offwind-dc-fb-oh,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-dc-fl-oh,offwind-dc-fl-oh,Offshore Wind (DC Float. OH),wind offshore,wind offshore,offshore wind,,,,,,,,,,,offwind-dc-fl-oh,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-h2-fb-oh,offwind-h2-fb-oh,Offshore Wind (H2 OH),wind offshore,wind offshore,offshore wind,,,,,,,,,,,offwind-h2-fb-oh,,only used with offshore hubs
,,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind-h2-fl-oh,offwind-h2-fl-oh,Offshore Wind (H2 Float. OH),wind offshore,wind offshore,offshore wind,,,,,,,,,,,offwind-h2-fl-oh,,only used with offshore hubs
,,,,,,,DRES Wind Off,,,Offshore Wind (DRES),wind offshore,wind offshore,offshore wind,,,,,,,,,,,,,
Hydro,Run of River - Turbine,Run_of_River,,,Run-of-River,Hydro and pumped storage,Run-of-River,hydro-ror,hydro-ror,Run of River,hydro and pumped storage,hydro (exc. pump storage),hydro,,,,,,,,,,,hydro-ror-turbine,,
Hydro,Pondage - Reservoir,Pondage,,,,,,hydro-pondage,hydro-pondage-reservoir,Hydro Pondage (Reservoir),,,,,,,,,,,,,,hydro-pondage-reservoir,,
Hydro,Pondage - Turbine,Pondage,,,Pondage,Hydro and pumped storage,Pondage,hydro-pondage,hydro-pondage,Hydro Pondage,hydro and pumped storage,hydro (exc. pump storage),hydro,,,,,,,,,,,hydro-pondage-turbine,,
Hydro,Reservoir - Reservoir,Reservoir,,,,,,hydro-reservoir,hydro-reservoir-reservoir,Reservoir & Dam (Reservoir),,,,,,,,,,,,,,hydro-reservoir-reservoir,,
Hydro,Reservoir - Turbine,Reservoir,,,Reservoir,Hydro and pumped storage,Reservoir,hydro-reservoir,hydro-reservoir,Reservoir & Dam,hydro and pumped storage,hydro (exc. pump storage),hydro,,,,,,,,,,,hydro-reservoir-turbine,,
,,,,,,Hydro (exc. Pump storage),,,,,,hydro (exc. pump storage),,,,,,,,,,,,,,
Hydro,Pump Storage - Reservoir,PS_Open,,,,,,hydro-phs,hydro-phs-reservoir,Pumped Hydro (Reservoir),,,,,,,,,,,,,,hydro-phs-reservoir,,
Hydro,Pump Storage - Turbine,PS_Open,,,Pump Storage - Open Loop (turbine),Hydro and pumped storage,Pump Storage - Open Loop (turbine),hydro-phs,hydro-phs-turbine,Pumped Hydro,hydro and pumped storage,,hydro,,,,,,,,,,,hydro-phs-turbine,,
,,,,,,,PS Open,hydro-phs,,Pumped Hydro Open,hydro and pumped storage,,,,,,,,,,,,,,,
Hydro,Pump Storage - Pump,PS_Open,,,Pump Storage - Open Loop (pump),,,hydro-phs,hydro-phs-pump,Pumped Hydro,hydro and pumped storage (load),,hydro,,,,,,,,,,,hydro-phs-pump,,
,,,,,,,,hydro-phs-inflows,,Pumped Hydro (Inflows),,,,,,,,,,,,,,,,
Hydro,Pure Pump Storage - Reservoir,PS_Closed,,,,,,hydro-phs-pure,hydro-phs-pure-reservoir,Pumped Hydro (Reservoir),,,,,,,,,,,,,,hydro-phs-pure-reservoir,,
Hydro,Pure Pump Storage - Turbine,PS_Closed,,,Pump Storage - Closed Loop (turbine),Hydro and pumped storage,Pump Storage - Closed Loop (turbine),hydro-phs-pure,hydro-phs-pure-turbine,Pumped Hydro,hydro and pumped storage,,hydro,,,,,,,,,,,hydro-phs-pure-turbine,,
,,,,,,,PS Closed,hydro-phs-pure,,Pumped Hydro Closed,hydro and pumped storage,,,,,,,,,,,,,,,
Hydro,Pure Pump Storage - Pump,PS_Closed,,,Pump Storage - Closed Loop (pump),,,hydro-phs-pure,hydro-phs-pure-pump,Pumped Hydro,hydro and pumped storage (load),,hydro,,,,,,,,,,,hydro-phs-pure-pump,,
Other RES,Small Biomass,,,,Others renewable,Small Scale RES,Other RES,other-res,other-res-biomass,Other Renewables,other res,other res,other res,,,,,,,other res,,,,other-res-biomass,,
Other RES,"Geothermal, Marine, Waste and Not Defined",,,,Others renewable,Small Scale RES,Other RES,other-res,other-res-mix,Other Renewables,other res,other res,other res,,,,,,,,,,,other-res-mix,,
Other RES,"Geothermal, Marine, Waste and Not Defined",,,,,Other RES,,,,,,other res,,,,,,,,,,,,,,The TYNDP 2024 Scenarios Report maps Other RES capacities as 'Small Scale RES' and Other RES generation as 'Other RES'
Gas,Conventional old 1,,,,Gas conventional old 1,Methane,Gas conventional,gas,gas-conv-old1,Gas Conventional,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-conv,OCGT,Methane demand benchmark
Gas,Conventional old 2,,,,Gas conventional old 2,Methane,Gas conventional,gas,gas-conv-old2,Gas Conventional,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-conv,OCGT,Methane demand benchmark
Gas,CCGT old 1,,,,Gas CCGT old 1,Methane,Gas CCGT,gas,gas-ccgt-old1,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-ccgt,CCGT,Methane demand benchmark
Gas,CCGT old 2,,,,Gas CCGT old 2,Methane,Gas CCGT,gas,gas-ccgt-old2,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-ccgt,CCGT,Methane demand benchmark
Gas,CCGT new,,,,Gas CCGT new,Methane,Gas CCGT,gas,gas-ccgt-new,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-ccgt,CCGT,Methane demand benchmark
Gas,CCGT CCS,,,,Gas CCGT CCS,Methane,Gas CCGT CCS,gas,gas-ccgt-ccs,Gas CCGT (CCS),methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-ccgt-ccs,,Methane demand benchmark
Gas,OCGT old,,,,Gas OCGT old,Methane,Gas OCGT,gas,gas-ocgt-old,Gas OCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-ocgt,OCGT,Methane demand benchmark
Gas,OCGT new,,,,Gas OCGT new,Methane,Gas OCGT,gas,gas-ocgt-new,Gas OCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-ocgt,OCGT,Methane demand benchmark
Gas,CCGT present 1,,,,Gas CCGT present 1,Methane,Gas CCGT,gas,gas-ccgt-present1,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-ccgt,CCGT,Methane demand benchmark
Gas,CCGT present 2,,,,Gas CCGT present 2,Methane,Gas CCGT,gas,gas-ccgt-present2,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,gas-ccgt,CCGT,Methane demand benchmark
,,,,,,Methane,Gas,,,,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,,,,,
Nuclear,Nuclear,,,Nuclear,Nuclear,Nuclear,Nuclear,uranium,nuclear,Nuclear,nuclear,nuclear,nuclear,,,,,,,,,,,nuclear,nuclear,
Hard coal,old 1,,,,Hard coal old 1,Coal + Other fossil,Hard coal,coal,coal-old1,Coal,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,coal,coal,
Hard coal,old 2,,,,Hard coal old 2,Coal + Other fossil,Hard coal,coal,coal-old2,Coal,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,coal,coal,
Hard coal,new,,,,Hard coal new,Coal + Other fossil,Hard coal,coal,coal-new,Coal,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,coal,coal,
Hard coal,CCS,,,,Hard coal CCS,Coal + Other fossil,Hard coal,coal,coal-ccs,Coal (CCS),coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,coal-ccs,,
Lignite,old 1,,,,Lignite old 1,Coal + Other fossil,Lignite,lignite,lignite-old1,Lignite,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,lignite,lignite,
Lignite,old 2,,,,Lignite old 2,Coal + Other fossil,Lignite,lignite,lignite-old2,Lignite,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,lignite,lignite,
Lignite,new,,,,Lignite new,Coal + Other fossil,Lignite,lignite,lignite-new,Lignite,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,lignite,lignite,
Lignite,CCS,,,,Lignite CCS,Coal + Other fossil,Lignite,lignite,lignite-ccs,Lignite (CCS),coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,lignite-ccs,,
Light oil,Light oil,,,,Light oil,Oil,Light oil,oil-light,oil-light,Oil (Light),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,oil-light,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Heavy oil,old 1,,,,Heavy oil old 1,Oil,Heavy oil,oil-heavy,oil-heavy-old1,Oil (Heavy),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,oil-heavy,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Heavy oil,old 2,,,,Heavy oil old 2,Oil,Heavy oil,oil-heavy,oil-heavy-old2,Oil (Heavy),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,oil-heavy,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Oil shale,old,,,,Oil shale old,Oil,Oil shale,oil-shale,oil-shale-old,Oil (Shale),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,oil-shale,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Oil shale,new,,,,Oil shale new,Oil,Oil shale,oil-shale,oil-shale-new,Oil (Shale),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,,,oil-shale,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Gas,conventional old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-conv-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-conv,OCGT,Methane demand benchmark
Other Non-RES Gas,conventional old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-conv-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-conv,OCGT,Methane demand benchmark
Other Non-RES Gas,ccgt old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand benchmark
Other Non-RES Gas,ccgt old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand benchmark
Other Non-RES Gas,ccgt new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand benchmark
Other Non-RES Gas,ccgt ccs,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-ccs,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-ccgt-ccs,,Methane demand benchmark
Other Non-RES Gas,ocgt old,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ocgt-old,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-ocgt,OCGT,Methane demand benchmark
Other Non-RES Gas,ocgt new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ocgt-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-ocgt,OCGT,Methane demand benchmark
Other Non-RES Gas,ccgt present 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-present1,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand benchmark
Other Non-RES Gas,ccgt present 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-present2,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand benchmark
Other Non-RES Hard coal,old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,coal,other-non-res-coal-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-coal,coal,
Other Non-RES Hard coal,old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,coal,other-non-res-coal-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-coal,coal,
Other Non-RES Hard coal,new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,coal,other-non-res-coal-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-coal,coal,
Other Non-RES Hard coal,ccs,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,coal,other-non-res-coal-ccs,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-coal-ccs,,
Other Non-RES Lignite,old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,lignite,other-non-res-lignite-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-lignite,lignite,
Other Non-RES Lignite,old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,lignite,other-non-res-lignite-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-lignite,lignite,
Other Non-RES Lignite,new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,lignite,other-non-res-lignite-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-lignite,lignite,
Other Non-RES Lignite,ccs,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,lignite,other-non-res-lignite-ccs,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-lignite-ccs,,
Other Non-RES Light oil,light oil,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-light,other-non-res-oil-light,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-oil-light,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Heavy oil,old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-heavy,other-non-res-oil-heavy-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-oil-heavy,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Heavy oil,old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-heavy,other-non-res-oil-heavy-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-oil-heavy,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Oil shale,old,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-shale,other-non-res-oil-shale-old,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-oil-shale,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Oil shale,new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-shale,other-non-res-oil-shale-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,,,other-non-res-oil-shale,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
,,,,,,Other non-res,,,,,,other non-res,,,,,,,,,,,,,,The TYNDP 2024 Scenarios Report maps Other Non-RES capacities as 'CHP and Small Thermal' and Other Non-RES generation as 'Other non-res'
Hydrogen,Fuel Cell,,,,Hydrogen Fuel Cell,Hydrogen,Hydrogen FC,h2-fuel-cell,h2-fuel-cell,H2 Fuel Cell,hydrogen,hydrogen,methane&hydrogen,,,,power generation,,,,,,,h2-fuel-cell,,Hydrogen demand benchmark
Hydrogen,CCGT,,,,Hydrogen CCGT,Hydrogen,Hydrogen CCGT,h2-ccgt,h2-ccgt,H2 CCGT,hydrogen,hydrogen,methane&hydrogen,,,,power generation,,,,,,,h2-ccgt,,Hydrogen demand benchmark
Electrolyser,Onshore grid connected,,,Electrolyzers,Electrolyser (gen.),P2G,,H2 Electrolysis,H2 Electrolysis,H2 Electrolysis,,,,,,,,,p2g,,,,,electrolyser-onshore-grid,,Hydrogen supply benchmark
Battery,Discharge,,,,Battery Storage discharge (gen.),Battery,Large scale batteries,battery,battery discharger,Battery Storage,battery,,battery,,,,,,,,,,,battery discharger,,
Battery,Charge,,,,Battery Storage charge (load),,,battery,battery charger,Battery Storage,battery charge (load),,battery,,,,,,,,,,,battery charger,,
Battery,Store,,,,,,,battery,battery,Battery Storage,,,,,,,,,,,,,,battery,,
,,,,,,,,,battery-prosumer discharger,Battery Storage Prosumer,,,,,,,,,,,,,,,,
,,,,,,,,,battery-prosumer charger,Battery Storage Prosumer,,,,,,,,,,,,,,,,
,,,,Batteries Prosumer,,,,battery,battery-prosumer,Battery Storage Prosumer,,,,,,,,,,,,,,battery-prosumer,,
,,,,,,,,,battery-utility discharger,Battery Storage Utility,,,,,,,,,,,,,,,,
,,,,,,,,,battery-utility charger,Battery Storage Utility,,,,,,,,,,,,,,,,
,,,,Batteries Utility,,,,battery,battery-utility,Battery Storage Utility,,,,,,,,,,,,,,battery-utility,,
,,,,,Lignite biofuel,Biofuels,Lignite biofuel,,,,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),,,,,,,,,,,,,,
,,,,,Hard Coal biofuel,Biofuels,Hard coal biofuel,,,,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),,,,,,,,,,,,,,
,,,,,Gas biofuel,,,,,,methane (incl. biofuels),methane (incl. biofuels),,,,,,,,,,,,,,
,,,,,Light oil biofuel,,,,,,oil (incl. biofuels),oil (incl. biofuels),,,,,,,,,,,,,,
,,,,,Heavy oil biofuel,,,,,,oil (incl. biofuels),oil (incl. biofuels),,,,,,,,,,,,,,
,,,,,Oil shale biofuel,,Oil shale biofuel,,,,oil (incl. biofuels),oil (incl. biofuels),,,,,,,,,,,,,,
,,,,,Demand Side Response Explicit,Demand shedding,Demand Side Response Explicit,dsr,,DSR,dsr,dsr,,,,,,,dsr,,,,,,,'Demand Side Response Implicit' is not included in the benchmarking for DSR.
,,,,,,,DSR,dsr,,DSR,dsr,dsr,,,,,,,,,,,,,,
,,,,,Unserved energy [GWh],,,load,,Demand Shedding,demand shedding,demand shedding,,,,,,,demand shedding,,,,loss of load expectation,,,"Load/Demand shedding, Demand shedding hours benchmark"
,,,,,Dump energy [GWh],,,,,,dumped energy,dumped energy,,,,,,,,,,,,,,Curtailment/dump energy
,,,,,Native Demand (excl. H2 storage charge) [GWhH2],,,H2 exogenous demand,,H2 Exogenous Demand,,,,,,,exogenous demand,,,,,,,,,Hydrogen demand benchmark
,,,,,Marginal Cost Yearly Average [€],,,,,,,,,,,,,,,,,AC,,,,Prices benchmark
,,,,,Marginal Cost Yearly Average (excl. 3 000 €/MWh) [€],,,,,,,,,,,,,,,,,AC,,,,Prices benchmark
,,,,,Marginal Cost Yearly Average [€/MWhH2],,,,,,,,,,,,,,,,,H2,,,,Prices benchmark
,,,,,Marginal Cost Yearly Average (excl. 3 000 €/MWhH2) [€/MWhH2],,,,,,,,,,,,,,,,,H2,,,,Prices benchmark
,,,,,Loss of load expectation [hour]  ,,,,,,,,,,,,,,,,,,loss of load expectation,,,Electricity demand shedding hours benchmark
,,,,,Loss of H2 load expectation [hour]  ,,,,,,,,,,,,,,,,,,loss of load expectation,,,Hydrogen demand shedding hours benchmark
,,,,,,Electricity,,AC,,Electricity,,,,electricity,,,,,,,,,,,,Final energy demand benchmark
,,,,,,Electricity,,AC_OH,,Electricity Offshore Hub,,,,electricity,,,,,,,,,,,,Final energy demand benchmark
,,,,,,Electricity,,low voltage,,Electricity Low Voltage,,,,electricity,,,,,,,,,,,,Final energy demand benchmark
,,,,,,Hydrogen,,H2,,Hydrogen,,,,hydrogen,,,,,,,,,,,,Final energy demand benchmark
,,,,,,Methane,,exogenous gas demand,,Gas Exogenous Demand,,,,methane,,,,,,,,,,,,Final energy demand benchmark
,,,,,,Biofuels,,solid biomass,,Solid Biomass,,,,biofuels,,,,,,,,,,,,Final energy demand benchmark
,,,,,,Solids,,coal,,Coal,,,,solids,,,,,,,,,,,,Final energy demand benchmark
,,,,,,Liquids,,oil,,Oil,,,,liquids,,,,,,,,,,,,Final energy demand benchmark
,,,,,,,,oil refining,,Oil Refining,,,,,,,,,,,,,,,,
,,,,,,Liquids,,kerosene for aviation,,Kerosene for Aviation,,,,liquids,,,,,,,,,,,,Final energy demand benchmark
,,,,,,Liquids,,shipping oil,,Shipping Oil Demand,,,,liquids,,,,,,,,,,,,Final energy demand benchmark
,,,,,,Liquids,,land transport oil,,Land Transport Oil Demand,,,,liquids,,,,,,,,,,,,Final energy demand benchmark
,,,,,Native Demand (excl. Pump load & Battery charge) [GWh],"Final demand (inc. T&D losses, excl. pump storage )",,electricity,,Electricity Exogenous Demand,,,,,"final demand (inc. t&d losses, excl. pump storage )",,,,,,,,,,,Electricity demand benchmark
,,,,,,H2 Residential&Tertiary,,H2 exogenous demand,,H2 Exogenous Demand,,,,,,,exogenous demand,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 Transport,,H2 exogenous demand,,H2 Exogenous Demand,,,,,,,exogenous demand,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 Industry,,H2 exogenous demand,,H2 Exogenous Demand,,,,,,,exogenous demand,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 Agriculture,,H2 exogenous demand,,H2 Exogenous Demand,,,,,,,exogenous demand,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 Power Generation,,,,,,,,,,,power generation,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 Non-energy use,,H2 exogenous demand,,H2 Exogenous Demand,,,,,,,exogenous demand,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 Others,,H2 exogenous demand,,H2 Exogenous Demand,,,,,,,exogenous demand,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 e-fuels,,Fischer-Tropsch,,Fischer-Tropsch,,,,,,,e-fuels,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 e-fuels,,Sabatier,,Sabatier,,,,,,,e-fuels,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 e-fuels,,methanolisation,,Methanolisation,,,,,,,e-fuels,,,,,,,,,Hydrogen demand benchmark
,,,,,,H2 International maritime bunkers,,H2 exogenous demand,,H2 Exogenous Demand,,,,,,,exogenous demand,,,,,,,,,Hydrogen demand benchmark
